dlga_start:close_window.1|{s3}
dlga_start:close_window.2|Esta pessoa parece ocupada. Acho que eu não deveria incomodar...
dlga_start:close_window.3|Esta pessoa parece ocupada. Acho que eu não deveria incomodar...
dlga_start:ovkun_talk|You think you're better than us, huh.{***}
dlga_ovkun_talk:ovkun_talk_2|I have never said anything like that...{***}
dlga_ovkun_talk_2:ovkun_talk_3|So you think I'm stronger than you?{***}
dlga_ovkun_talk_3:ovkun_talk_4|Yes.{***}
dlga_ovkun_talk_4:ovkun_fight_start|I do not like to be mocked.{***}
dlga_ovkun_talk_3:ovkun_reason|Well, no. We are equals. So it would not be smart to start a fight in which both of us may lose, right?{***}
dlga_ovkun_reason:close_window|Well, you are right about that. I want to lose in a fight no more than you. I hope to see you again.{***}
dlga_ovkun_talk:ovkun_fight_start|I certainly am!{***}
dlga_ovkun_fight_start:close_window|I'll wipe that smirk right off your face!{***}
dlga_member_chat:khivachis_talk|It is an honor to be a part of your fine company of men.{***}
dlga_khivachis_talk:member_chat|I want to see your skills.{***}
dlga_khivachis_talk:khivachis_equipcheat|Let me see your equipment.{***}
dlga_khivachis_equipcheat:khivachis_equipcheatfinish|Yes, your honor.{***}
dlga_khivachis_equipcheatfinish:khivachis_talk|How else may I serve?{***}
dlga_khivachis_talk:khivachis_leavetalk1|I think we need to part our ways.{***}
dlga_khivachis_leavetalk1:khivachis_leavetalk2|Are you sure, your honor?{***}
dlga_khivachis_leavetalk2:close_window|Yes, I am certain.{***}
dlga_khivachis_leavetalk2:member_chat|No, I'd rather have you at my side.{***}
dlga_khivachis_talk:close_window|Thank you.{***}
dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Quero adiar a nomeação de um novo lorde até que me consulte com meus súditos.
dlga_award_fief_to_vassal_defer:close_window|Como desejar, {senhor/milady}. Pode decidir isso mais tarde.
dlga_award_fief_to_vassal_2:close_window|Como quiser, {senhor/senhora}. {reg6?Eu serei:{reg7?Você será:{s11} será}} {reg3?a nova lady:o novo lorde} de {s1}.
dlga_event_triggered:center_captured_rebellion|{s1} ainda não possui um gerente. A quem devo atribuir esse cargo?
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}. {s1}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|{reg0?{s65}:Por favor, {s65}}, gostaria de receber {s1} como minha propriedade. (feudos: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2.2|{s66}, {s1} deveria pertencer a você. (feudos: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2_defer|Você não precisa nomear ninguém no momento, decida depois.
dlga_center_captured_rebellion_2_defer:close_window|Hmmm. Muito bem, {playername}. Eu valorizo seu conselho. Eu adiarei a nomeação de um lorde para {s1} para um outro momento.
dlga_center_captured_rebellion_2:close_window|Hmmm. Muito bem, {playername}. Aprecio muito o seu conselho. {reg6?Eu:{reg7?Você:{s11}}} será {reg3?a nova lady:o novo lorde} de {s1}.
dlga_start:fighter_talk|Saudações, amigo. Estamos aqui melhorando nossas habilidades de combate com um pouco de prática direta. Parece que um pouco de treinamento também lhe cairia bem. Por que não junta-se a nós? Poderíamos ensinar-lhe alguns truques. E se precisar de alguma explicação sobre qualquer conceito de combate, basta simplesmente perguntar e eu tentarei ajudá-lo com todo meu esforço.
dlga_start:fighter_talk.1|O que deseja praticar?
dlga_fighter_pretalk:fighter_talk|Diga-me, o que deseja praticar?
dlga_fighter_talk:fighter_talk_train_attack|Quero praticar o ataque.
dlga_fighter_talk:fighter_talk_train_parry|Quero praticar o bloqueio com minha arma.
dlga_fighter_talk:fighter_talk_train_combat|Vamos praticar o combate direto.
dlga_fighter_talk:close_window|[Deixar]
dlga_fighter_talk_train_attack:fighter_talk_train_attack_2|Está bem. Há quatro principais direções para atacar. São elas: na cabeça, direita, esquerda e estocada. Agora, ensinarei em que direção deves atacar para que possa fazer corretamente. ^^(Mova seu mouse enquanto pressiona o botão esquerdo para especificar a direção do ataque. Por exemplo, para executar um ataque do alto, mova o mouse para cima no momento em que o botão esquerdo é pressionado. Os ícones na tela o ajudarão a praticar a ação correta).
dlga_fighter_talk_train_attack_2:close_window|Vamos começar então. Estou pronto.
dlga_fighter_talk_train_attack_2:fighter_pretalk|Na verdade, gostaria de tentar outra coisa.
dlga_fighter_talk_train_parry:fighter_talk_train_parry_2|Diferentemente de um escudo, bloqueando com a própria arma você conseguirá deter apenas os ataques procedentes de uma única direção. Por exemplo, se você dirigir o seu olhar para cima, desviará os ataques que vêm do alto, mas ainda poderá ser atingido por um golpe lateral ou por uma estocada. ^^(Pressione e segure o botão direito do mouse para bloquear).
dlga_fighter_talk_train_parry_2:fighter_talk_train_parry_3|Agora irei atacá-lo com diferentes tipos de golpes e vou esperar até que você bloqueie corretamente antes de atacá-lo. Tente preparar o bloqueio correto, logo que possível. ^^(Esta prática é fácil de fazer com a opção de "bloqueio automático" ativada como padrão. Se for ao menu de "Opções Gerais" você poderá selecionar bloquear a direção manualmente. Isto torna o combate muito mais difícil, porém, mais interessante).
dlga_fighter_talk_train_parry_3:close_window|Vamos começar então. Estou pronto.
dlga_fighter_talk_train_parry_3:fighter_pretalk|Na verdade, gostaria de tentar outra coisa.
dlga_fighter_talk_train_combat:fighter_talk_train_combat_2|O combate direto é uma excelente forma de preparação para um combate real. Agora vamos combater uns aos outros com armas não letais, até que um de nós caia no chão. Você poderá concluir a prática com algumas contusões, é claro, mas é melhor do que receber cortes de graves consequências.
