lockitver|DO NOT DELETE THIS LINE! Tradução PTBR - 2015-2021 - by Cláudio Vieira e Evandro Neto
itm_no_item|INVALID ITEM
itm_no_item_pl|INVALID ITEM
itm_tutorial_spear|Spear
itm_tutorial_spear_pl|Spear
itm_tutorial_club|Club
itm_tutorial_club_pl|Club
itm_tutorial_battle_axe|Battle Axe
itm_tutorial_battle_axe_pl|Battle Axe
itm_tutorial_arrows|Arrows
itm_tutorial_arrows_pl|Arrows
itm_tutorial_bolts|Bolts
itm_tutorial_bolts_pl|Bolts
itm_tutorial_short_bow|Short Bow
itm_tutorial_short_bow_pl|Short Bow
itm_tutorial_crossbow|Crossbow
itm_tutorial_crossbow_pl|Crossbow
itm_tutorial_throwing_daggers|Throwing Daggers
itm_tutorial_throwing_daggers_pl|Throwing Daggers
itm_tutorial_saddle_horse|Saddle Horse
itm_tutorial_saddle_horse_pl|Saddle Horse
itm_tutorial_shield|Kite Shield
itm_tutorial_shield_pl|Kite Shield
itm_tutorial_staff_no_attack|Staff
itm_tutorial_staff_no_attack_pl|Staff
itm_tutorial_staff|Staff
itm_tutorial_staff_pl|Staff
itm_tutorial_sword|Sword
itm_tutorial_sword_pl|Sword
itm_tutorial_axe|Axe
itm_tutorial_axe_pl|Axe
itm_tutorial_dagger|Dagger
itm_tutorial_dagger_pl|Dagger
itm_horse_meat|Horse Meat
itm_horse_meat_pl|Horse Meat
itm_practice_sword|Practice Sword
itm_practice_sword_pl|Practice Sword
itm_heavy_practice_sword|Heavy Practice Sword
itm_heavy_practice_sword_pl|Heavy Practice Sword
itm_practice_dagger|Practice Dagger
itm_practice_dagger_pl|Practice Dagger
itm_practice_axe|Practice Axe
itm_practice_axe_pl|Practice Axe
itm_arena_axe|Axe
itm_arena_axe_pl|Axe
itm_arena_sword|Sword
itm_arena_sword_pl|Sword
itm_arena_gladius|Gladius
itm_arena_gladius_pl|Gladius
itm_arena_sword_two_handed|Two Handed Sword
itm_arena_sword_two_handed_pl|Two Handed Sword
itm_arena_lance|Lance
itm_arena_lance_pl|Lance
itm_practice_staff|Practice Staff
itm_practice_staff_pl|Practice Staff
itm_practice_lance|Practice Lance
itm_practice_lance_pl|Practice Lance
itm_practice_shield|Practice Shield
itm_practice_shield_pl|Practice Shield
itm_practice_bow|Practice Bow
itm_practice_bow_pl|Practice Bow
itm_practice_crossbow|Practice Crossbow
itm_practice_crossbow_pl|Practice Crossbow
itm_practice_javelin|Practice Javelins
itm_practice_javelin_pl|Practice Javelins
itm_practice_javelin_melee|practice javelin melee
itm_practice_javelin_melee_pl|practice javelin melee
itm_practice_throwing_daggers|Throwing Daggers
itm_practice_throwing_daggers_pl|Throwing Daggers
itm_practice_throwing_daggers_100_amount|Throwing Daggers
itm_practice_throwing_daggers_100_amount_pl|Throwing Daggers
itm_practice_horse|Practice Horse
itm_practice_horse_pl|Practice Horse
itm_practice_arrows|Practice Arrows
itm_practice_arrows_pl|Practice Arrows
itm_practice_bolts|Practice Bolts
itm_practice_bolts_pl|Practice Bolts
itm_practice_arrows_10_amount|Practice Arrows
itm_practice_arrows_10_amount_pl|Practice Arrows
itm_practice_arrows_100_amount|Practice Arrows
itm_practice_arrows_100_amount_pl|Practice Arrows
itm_practice_bolts_9_amount|Practice Bolts
itm_practice_bolts_9_amount_pl|Practice Bolts
itm_practice_boots|Practice Boots
itm_practice_boots_pl|Practice Boots
itm_red_tourney_armor|Red Tourney Armor
itm_red_tourney_armor_pl|Red Tourney Armor
itm_blue_tourney_armor|Blue Tourney Armor
itm_blue_tourney_armor_pl|Blue Tourney Armor
itm_green_tourney_armor|Green Tourney Armor
itm_green_tourney_armor_pl|Green Tourney Armor
itm_gold_tourney_armor|Gold Tourney Armor
itm_gold_tourney_armor_pl|Gold Tourney Armor
itm_red_tourney_helmet|Red Tourney Helmet
itm_red_tourney_helmet_pl|Red Tourney Helmet
itm_blue_tourney_helmet|Blue Tourney Helmet
itm_blue_tourney_helmet_pl|Blue Tourney Helmet
itm_green_tourney_helmet|Green Tourney Helmet
itm_green_tourney_helmet_pl|Green Tourney Helmet
itm_gold_tourney_helmet|Gold Tourney Helmet
itm_gold_tourney_helmet_pl|Gold Tourney Helmet
itm_arena_shield_red|Shield
itm_arena_shield_red_pl|Shield
itm_arena_shield_blue|Shield
itm_arena_shield_blue_pl|Shield
itm_arena_shield_green|Shield
itm_arena_shield_green_pl|Shield
itm_arena_shield_yellow|Shield
itm_arena_shield_yellow_pl|Shield
itm_arena_armor_white|Arena Armor White
itm_arena_armor_white_pl|Arena Armor White
itm_arena_armor_red|Arena Armor Red
itm_arena_armor_red_pl|Arena Armor Red
itm_arena_armor_blue|Arena Armor Blue
itm_arena_armor_blue_pl|Arena Armor Blue
itm_arena_armor_green|Arena Armor Green
