p_zendar|Cidade do Lago Nebuloso
p_town_1|Maccan
p_town_2|Forde
p_town_3|Lille
p_town_4|Leuven
p_town_5|Forniron
p_town_6|Lesbere
p_town_7|Vinica
p_town_8|Murdenholl
p_town_9|Voldeberg
p_town_10|Khul Vara
p_town_11|Freising
p_town_12|Arendal
p_town_13|Reichberg
p_town_14|Krain
p_town_15|Elsinore
p_town_16|Galwe
p_town_17|Uliastai
p_town_18|Bulgan
p_town_19|Amarna
p_town_20|Vellinaz
p_town_21|Sut
p_town_22|Arish
p_town_23|Grund
p_town_24|Grozny
p_town_25|Salão da Fonte
p_town_26|Karnoth
p_town_27|Dwallnor
p_town_28|Qaletaqa
p_town_29|Tumatarhun
p_town_30|Venetor
p_castle_1|Castelo Esahil
p_castle_2|Castelo Namauk
p_castle_3|Castelo Hafen
p_castle_4|Castelo Arklow
p_castle_5|Castelo Yorid
p_castle_6|Castelo Federo
p_castle_7|Castelo Demaig
p_castle_8|Castelo Rhenstal
p_castle_9|Fortaleza Azure
p_castle_10|Castelo Julre
p_castle_11|Castelo Verek
p_castle_12|Castelo Laidir
p_castle_13|Castelo Headow
p_castle_14|Castelo Maelond
p_castle_15|Castelo Lyndel
p_castle_16|Castelo Serin
p_castle_17|Castelo Selansir
p_castle_18|Castelo Gral
p_castle_19|Castelo Glatteis
p_castle_20|Castelo Dillac
p_castle_21|Castelo Ianthas
p_castle_22|Castelo Omigan
p_castle_23|Castelo Panmandot
p_castle_24|Castelo Cournin
p_castle_25|Castelo Valellon
p_castle_26|Castelo Riar
p_castle_27|Castelo Kilnar Keep
p_castle_28|Castelo Verlorne
p_castle_29|Castelo Norberg
p_castle_30|Castelo Urlabay
p_castle_31|Castelo Westrey
p_castle_32|Castelo Anlux
p_castle_33|Castelo Efenas
p_castle_34|Castelo Blackfist
p_castle_35|Castelo Enduin
p_castle_36|Castelo Farraige
p_castle_37|Castelo Dasselocht
p_castle_38|Castelo Novark
p_castle_39|Castelo Steinturm
p_castle_40|Castelo Jezatt
p_castle_41|Castelo Aolas
p_castle_42|Castelo Sasspegah
p_castle_43|Castelo Alef
p_castle_44|Castelo Dailin
p_castle_45|Castelo Hasaca
p_castle_46|Posto Avançado do Deserto
p_castle_47|Castelo Samarra
p_castle_48|Castelo Bardaq
p_castle_49|Castelo Alnar
p_castle_50|Castelo Amarhus
p_castle_51|Castelo Fimbul
p_castle_52|Castelo Wotin
p_castle_53|Orgulho do Falcão
p_castle_54|Garra do Falcão
p_castle_55|Cabeça do Falcão
p_castle_56|Olho do Falcão
p_castle_57|Águas do Falcão
p_castle_58|Fortaleza do Estilhaço
p_castle_59|Fortaleza Barbalonga
p_castle_60|Fortaleza Kahhadir
p_castle_61|Fortaleza Hornogoth
p_castle_62|Castelo Tabranpadan
p_castle_63|Castelo Steorac
p_castle_64|Castelo Huradan
p_castle_65|Forte Trilond
p_castle_90|Forte Zann
p_village_1|Galbar
p_village_2|Arcross
p_village_3|Yascon
p_village_4|Ander
p_village_5|Bravan
p_village_6|Soveil
p_village_7|Ellcour
p_village_8|Stuin
p_village_9|Tempe
p_village_10|Kolines
p_village_11|Lifwen
p_village_12|Esari
p_village_13|Logebur
p_village_14|Mistelholz-Kollern
p_village_15|Valellon
p_village_16|Bebbanburg
p_village_17|Wittinghausen
p_village_18|Angern
p_village_19|Horitzdorf
p_village_20|Krumau
